back_legroom,daysonmarket,dealer_zip,franchise_dealer,front_legroom,fuel_tank_volume,height,horsepower,is_new,latitude,longitude,mileage,savings_amount,seller_rating,width,year,price,max_torque,torque_rpm,horsepower_rpm,seating_capacity,cylinders,body_type_Pickup Truck,body_type_SUV / Crossover,body_type_Sedan,body_type_other,city_Bohemia,city_East Hartford,city_Stamford,city_West Nyack,city_other,engine_type_I6,engine_type_V6,engine_type_V8,engine_type_other,exterior_color_Blue,exterior_color_Gray,exterior_color_White,exterior_color_other,fuel_type_Electric,fuel_type_Flex Fuel Vehicle,fuel_type_Gasoline,fuel_type_other,interior_color_Black (Ebony),interior_color_Gray,interior_color_Jet Black,interior_color_None,interior_color_other,listed_date_other,listing_color_GRAY,listing_color_SILVER,listing_color_UNKNOWN,listing_color_WHITE,listing_color_other,make_name_Ford,make_name_Hyundai,make_name_Jeep,make_name_Kia,make_name_other,maximum_seating_5 seats,maximum_seating_6 seats,maximum_seating_7 seats,maximum_seating_8 seats,maximum_seating_other,model_name_Equinox,model_name_Grand Cherokee,model_name_Sonata,model_name_Tucson,model_name_other,power_other,torque_other,transmission_Dual Clutch,transmission_M,transmission_display_6-Speed Automatic Overdrive,transmission_display_8-Speed Automatic,transmission_display_Automatic,transmission_display_other,wheel_system_4X2,wheel_system_AWD,wheel_system_FWD,wheel_system_RWD
0.7052631578947368,0.028653295128939826,0.2091713096249042,False,0.17628205128205132,0.14871794871794872,0.20701168614357268,0.18080667593880387,False,0.9176709873986625,0.5813302970752297,0.12209208707408589,0.11889696117490821,0.5865384615,0.4069478908188584,0.9069767441860463,21495,0.21370499419279904,0.15873015873015872,0.6202531645569621,0.23076923076923078,0.1111111111111111,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0
0.7747368421052631,0.09169054441260745,0.13562270872599988,True,0.22435897435897445,0.16666666666666666,0.2971619365609348,0.27399165507649514,False,0.9230510573559744,0.5520935401054299,0.16367862188397211,0.05780798375126943,0.9375,0.4590570719602973,0.9069767441860463,22459,0.26248548199767713,0.2857142857142857,0.6202531645569621,0.23076923076923078,0.1111111111111111,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
0.7747368421052631,0.020057306590257878,0.13562270872599988,True,0.22435897435897445,0.16666666666666666,0.2971619365609348,0.27399165507649514,False,0.9230510573559744,0.5520935401054299,0.05133907548344954,0.06499492227169752,0.9375,0.4590570719602973,0.9069767441860463,24799,0.26248548199767713,0.2857142857142857,0.6202531645569621,0.23076923076923078,0.1111111111111111,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
0.6378947368421053,0.01862464183381089,0.1392058988007705,False,0.21794871794871828,0.10769230769230767,0.12020033388981644,0.08623087621696801,False,0.9208859072512027,0.5636765728236659,0.5513223655227939,0.07679087571283492,0.6444444445,0.08188585607940468,0.7441860465116292,3750,0.0627177700348432,0.6507936507936508,0.7215189873417722,0.23076923076923078,0.1111111111111111,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0
0.8126315789473685,0.020057306590257878,0.13562270872599988,True,0.23717948717948745,0.1846153846153846,0.27212020033388984,0.23922114047287898,True,0.9230510573559744,0.5520935401054299,4.557261996992207e-05,0.0,0.9375,0.43176178660049613,0.9767441860465098,40669,0.23344947735191635,0.4444444444444444,0.6202531645569621,0.23076923076923078,0.1111111111111111,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0
0.84,0.30515759312320917,0.22335908535448729,True,0.16346153846153855,0.1692307692307692,0.29382303839732904,0.12795549374130735,True,0.9158625949816085,0.6069541988493601,0.078940892311899,0.0,0.6119402985,0.17369727047146388,0.9767441860465098,26844,0.14982578397212543,0.2857142857142857,0.6329113924050633,0.23076923076923078,0.1111111111111111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
0.9347368421052631,0.2593123209169054,0.2091713096249042,False,0.17948717948717952,0.2974358974358975,0.1736227045075126,0.5104311543810849,False,0.9176709873986625,0.5813302970752297,0.1529477889683878,0.592219357862667,0.5865384615,0.4913151364764268,0.9302325581395365,37495,0.470383275261324,0.25396825396825395,0.6202531645569621,0.23076923076923078,0.5555555555555556,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0
0.9515789473684211,0.5816618911174785,0.10741285391769019,True,0.16346153846153855,0.4358974358974359,0.4974958263772955,0.4408901251738526,True,0.958357766450835,0.6400282459588027,6.683984262255237e-05,0.0,0.8444444444999999,0.4094292803970223,0.9767441860465098,35374,0.39024390243902435,0.5952380952380952,0.6329113924050633,0.3076923076923077,0.5555555555555556,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
0.8105263157894737,0.35673352435530087,0.2091713096249042,False,0.14423076923076938,0.4461538461538461,0.41736227045075114,0.3949930458970793,False,0.9176709873986625,0.5813302970752297,0.04834951161342266,0.20803062260760877,0.5865384615,0.46401985111662514,0.9069767441860463,44495,0.34262485481997673,0.20634920634920634,0.5569620253164558,0.3846153846153847,0.3333333333333333,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0
0.8063157894736841,0.055873925501432664,0.1392058988007705,False,0.1923076923076923,0.17692307692307693,0.3088480801335558,0.2656467315716272,False,0.9208859072512027,0.5636765728236659,0.6726397180573911,0.02913834856651824,0.6444444445,0.14640198511166247,0.6744186046511587,4550,0.19976771196283388,0.7142857142857143,0.708860759493671,0.3846153846153847,0.3333333333333333,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
